time,tx,cpu_util
1587468639463,29263,92.271516
1587468640465,22848,96.857411
1587468642124,27863,92.736726
1587468643129,22917,96.581864
1587468644716,26798,92.037212
1587468645721,22624,97.158491
1587468647355,27446,92.128096
1587468648356,23241,96.553345
1587468649358,17187,96.130250
1587468650359,17922,92.284820
1587468651362,23196,97.501917
1587468652800,22355,92.206973
1587468653804,22535,97.182496
1587468655633,31853,91.847053
1587468656637,22955,96.096190
1587468657639,17846,94.763249
1587468658642,16831,93.460749
1587468659643,23570,97.287607
1587468661200,25280,92.326926
1587468662205,22762,96.989266
1587468664001,30583,92.791243
1587468665001,22804,96.475564
1587468666004,18598,97.058824
1587468667012,16151,92.119779
1587468668013,23358,96.412907
1587468669623,26868,92.728122
1587468670627,21946,95.977373
1587468671628,19224,55.189122
1587468672629,5333,0.062510
